# Blue Lias Formation, Southam Quarry, magnetic susceptibility + lithology
# Source: Weedon et al. 2019, PANGAEA https://doi.org/10.1594/PANGAEA.896875 (CC-BY-4.0)
# UK, Hettangian-Sinemurian limestone-marl-shale rhythmite. Real measurements, 2cm spacing.
height_m,magnetic_susceptibility,lithology
25.02,0.0420,Light marl
25.05,0.0430,Light marl
25.08,0.0190,Limestone nodule
25.11,0.0230,Limestone nodule
25.14,0.0445,Light marl
25.17,0.0420,Light marl
25.20,0.0390,Light marl
25.23,0.0385,Light marl
25.26,0.0330,Light marl
25.29,0.0365,Light marl
25.32,0.0385,Light marl
25.35,0.0400,Light marl
25.38,0.0365,Light marl
25.41,0.0360,Light marl
25.44,0.0230,Light marl
25.47,0.0115,Limestone
25.50,0.0115,Limestone
25.53,0.0120,Limestone
25.56,0.0165,Limestone
25.59,0.0250,Light marl/Limestone
25.62,0.0240,Limestone
25.65,0.0150,Limestone
25.68,0.0110,Limestone
25.71,0.0125,Limestone
25.74,0.0295,Light marl
25.77,0.0160,Limestone
25.80,0.0160,Limestone
25.83,0.0140,Limestone
25.86,0.0310,Light marl
25.89,0.0195,Limestone
25.92,0.0140,Limestone
25.95,0.0150,Limestone
25.98,0.0280,Light marl/Limestone
26.01,0.0405,Light marl
26.04,0.0300,Light marl
26.07,0.0335,Light marl
26.10,0.0470,Light marl
26.13,0.0435,Light marl
26.16,0.0385,Light marl
26.19,0.0370,Light marl
26.22,0.0385,Light marl
26.25,0.0375,Light marl
26.28,0.0155,Limestone
26.31,0.0155,Limestone
26.34,0.0155,Limestone
26.37,0.0285,Light marl
26.40,0.0285,Light marl
26.43,0.0335,Light marl
26.46,0.0275,Light marl
26.49,0.0330,Light marl
26.52,0.0205,Limestone
26.55,0.0150,Limestone
26.58,0.0135,Limestone
26.61,0.0125,Limestone
26.64,0.0115,Limestone
26.67,0.0110,Limestone
26.70,0.0180,Light marl
26.73,0.0290,Light marl
26.76,0.0425,Dark marl
26.79,0.0425,Dark marl
26.82,0.0430,Dark marl
26.85,0.0370,Dark marl
26.88,0.0365,Dark marl
26.91,0.0330,Light marl
26.94,0.0410,Light marl
26.97,0.0370,Light marl
27.00,0.0335,Light marl
27.03,0.0335,Limestone/Light marl
27.06,0.0150,Limestone
27.09,0.0150,Limestone
27.12,0.0180,Limestone
27.15,0.0305,Light marl
27.18,0.0300,Dark marl
27.21,0.0320,Dark marl
27.24,0.0430,Dark marl
27.27,0.0370,Light marl
27.30,0.0315,Light marl
27.33,0.0185,Limestone/Light marl
27.36,0.0130,Limestone
27.39,0.0130,Limestone
27.42,0.0145,Limestone
27.45,0.0135,Limestone
27.48,0.0155,Limestone
27.51,0.0195,Limestone
27.54,0.0300,Light marl
27.57,0.0360,Light marl
27.60,0.0305,Limestone
27.63,0.0185,Limestone
27.66,0.0175,Limestone
27.69,0.0200,Limestone
27.72,0.0310,Light marl
27.75,0.0365,Light marl
27.78,0.0355,Light marl
27.81,0.0345,Dark marl
27.84,0.0365,Light marl
27.87,0.0360,Light marl
27.90,0.0395,Light marl
27.93,0.0435,Light marl
27.96,0.0455,Light marl
27.99,0.0410,Light marl
28.02,0.0375,Dark marl
28.05,0.0410,Dark marl
28.08,0.0405,Dark marl
28.11,0.0445,Dark marl
28.14,0.0330,Dark marl
28.17,0.0355,Light marl
28.20,0.0380,Light marl
28.23,0.0395,Light marl
28.26,0.0210,Limestone/Light marl
28.29,0.0155,Limestone
28.32,0.0140,Limestone
28.35,0.0155,Limestone
28.38,0.0190,Limestone
28.41,0.0430,Light marl
28.44,0.0410,Light marl
28.47,0.0380,Light marl
28.50,0.0415,Light marl
28.53,0.0435,Light marl
28.56,0.0405,Light marl
28.59,0.0450,Light marl
28.62,0.0455,Light marl
28.65,0.0385,Light marl
28.68,0.0400,Dark marl
28.71,0.0365,Laminated shale/Dark marl
28.74,0.0285,Laminated shale
28.77,0.0310,Laminated shale
28.80,0.0370,Laminated shale
28.83,0.0330,Dark marl
28.86,0.0265,Dark marl
28.89,0.0250,Light marl
28.92,0.0315,Light marl
28.95,0.0330,Light marl
28.98,0.0260,Limestone
29.01,0.0200,Limestone
29.04,0.0175,Limestone
29.07,0.0150,Limestone
29.10,0.0170,Limestone
29.13,0.0210,Limestone
29.16,0.0215,Limestone
29.19,0.0305,Limestone
29.22,0.0350,Limestone
29.25,0.0335,Light marl
29.28,0.0315,Light marl
29.31,0.0295,Light marl
29.34,0.0330,Dark marl
29.37,0.0405,Light marl
29.40,0.0370,Light marl
29.43,0.0380,Light marl
29.46,0.0330,Light marl
29.49,0.0185,Limestone
29.52,0.0140,Limestone
29.55,0.0140,Limestone
29.58,0.0190,Limestone
29.61,0.0185,Limestone
29.64,0.0190,Limestone
29.67,0.0185,Limestone
29.70,0.0225,Limestone
29.73,0.0270,Limestone
29.76,0.0335,Dark marl
29.79,0.0395,Dark marl
29.82,0.0425,Laminated shale
29.85,0.0425,Laminated shale
29.88,0.0355,Laminated shale
29.91,0.0425,Laminated shale
29.94,0.0405,Light marl
29.97,0.0335,Light marl
30.00,0.0350,Light marl
30.03,0.0375,Light marl
30.06,0.0335,Light marl
30.09,0.0335,Light marl
30.12,0.0330,Laminated shale
30.15,0.0315,Laminated shale
30.18,0.0350,Light marl
30.21,0.0320,Dark marl
30.24,0.0270,Dark marl
30.27,0.0290,Light marl
30.30,0.0295,Light marl
30.33,0.0285,Light marl
30.36,0.0225,Light marl
30.39,0.0210,Light marl
30.42,0.0225,Light marl
30.45,0.0335,Light marl
30.48,0.0325,Light marl
30.51,0.0455,Laminated shale
30.54,0.0400,Laminated shale
30.57,0.0480,Laminated shale
30.60,0.0490,Laminated shale
30.63,0.0420,Light marl
30.66,0.0320,Light marl
30.69,0.0315,Light marl
30.72,0.0415,Light marl
30.75,0.0335,Light marl
30.78,0.0360,Light marl
30.81,0.0420,Laminated shale
30.84,0.0410,Laminated shale
30.87,0.0500,Laminated shale
30.90,0.0370,Laminated shale
30.93,0.0320,Laminated shale
30.96,0.0360,Light marl
30.99,0.0345,Light marl
31.02,0.0330,Light marl
31.05,0.0205,Light marl
31.08,0.0235,Light marl
31.11,0.0190,Light marl
31.14,0.0170,Light marl
31.17,0.0210,Light marl
31.20,0.0320,Light marl
31.23,0.0315,Dark marl
31.26,0.0185,Limestone
31.29,0.0180,Limestone
31.32,0.0205,Limestone
31.35,0.0195,Limestone
31.38,0.0190,Limestone
31.41,0.0340,Light marl
31.44,0.0410,Laminated shale
31.47,0.0315,Light marl/Laminated shale
31.50,0.0280,Light marl
31.53,0.0300,Light marl
31.56,0.0320,Light marl
31.59,0.0280,Light marl
31.62,0.0255,Limestone
31.65,0.0190,Limestone
31.68,0.0180,Limestone
31.71,0.0180,Limestone
31.74,0.0185,Limestone
31.77,0.0215,Limestone
31.80,0.0245,Limestone
31.83,0.0360,Light marl
31.86,0.0370,Light marl
31.89,0.0340,Light marl
31.92,0.0375,Light marl
31.95,0.0380,Light marl
31.98,0.0305,Light marl
32.01,0.0410,Light marl
32.04,0.0365,Light marl
32.07,0.0435,Light marl
32.10,0.0395,Dark marl
32.13,0.0340,Dark marl
32.16,0.0405,Dark marl
32.19,0.0395,Dark marl
32.22,0.0400,Dark marl
32.25,0.0350,Dark marl
32.28,0.0340,Dark marl
32.31,0.0415,Dark marl
32.34,0.0325,Dark marl
32.37,0.0340,Dark marl
32.40,0.0365,Dark marl
32.43,0.0335,Dark marl
32.46,0.0305,Dark marl
32.49,0.0310,Dark marl
32.52,0.0370,Dark marl
32.55,0.0335,Dark marl
32.58,0.0330,Dark marl
32.61,0.0355,Dark marl
32.64,0.0315,Dark marl
32.67,0.0425,Light marl
32.70,0.0365,Light marl
32.73,0.0285,Light marl
32.76,0.0255,Limestone
32.79,0.0195,Limestone
32.82,0.0200,Limestone
32.85,0.0195,Limestone
32.88,0.0190,Limestone
32.91,0.0220,Limestone
32.94,0.0225,Light marl/Limestone
32.97,0.0395,Light marl
33.00,0.0345,Light marl
