# Blue Lias Formation, Southam Quarry, magnetic susceptibility + lithology
# Source: Weedon et al. 2019, PANGAEA https://doi.org/10.1594/PANGAEA.896875 (CC-BY-4.0)
# UK, Hettangian-Sinemurian limestone-marl-shale rhythmite. Real measurements, 2cm spacing.
height_m,magnetic_susceptibility,lithology
5.31,0.0570,Laminated shale
5.34,0.0635,Laminated shale
5.37,0.0640,Laminated shale
5.40,0.0530,Laminated shale
5.43,0.0565,Laminated shale
5.46,0.0580,Laminated shale
5.49,0.0640,Laminated shale
5.52,0.0575,Laminated shale
5.55,0.0535,Laminated shale
5.58,0.0540,Laminated shale
5.61,0.0490,Laminated shale
5.64,0.0580,Laminated shale
5.67,0.0415,Laminated shale
5.70,0.0545,Laminated shale
5.73,0.0590,Laminated shale
5.76,0.0550,Laminated shale
5.79,0.0585,Laminated shale
5.82,0.0565,Laminated shale
5.85,0.0590,Laminated shale
5.88,0.0590,Laminated shale
5.91,0.0540,Laminated shale
5.94,0.0545,Laminated shale
5.97,0.0560,Laminated shale
6.00,0.0445,Laminated shale
6.03,0.0420,Laminated shale
6.06,0.0540,Laminated shale
6.09,0.0560,Laminated shale
6.12,0.0560,Laminated shale
6.15,0.0525,Laminated shale
6.18,0.0340,Laminated shale
6.21,0.0460,Laminated shale
6.24,0.0540,Laminated shale
6.27,0.0470,Laminated shale
6.30,0.0545,Laminated shale
6.33,0.0430,Laminated shale
6.36,0.0475,Laminated shale
6.39,0.0570,Laminated shale
6.42,0.0450,Laminated shale
6.45,0.0475,Laminated shale
6.48,0.0455,Laminated shale
6.51,0.0530,Laminated shale
6.54,0.0505,Laminated shale
6.57,0.0535,Laminated shale
6.60,0.0490,Laminated shale
6.63,0.0510,Laminated shale
6.66,0.0545,Laminated shale
6.69,0.0390,Laminated shale
6.72,0.0505,Laminated shale
6.75,0.0530,Laminated shale
6.78,0.0540,Laminated shale
6.81,0.0510,Laminated shale
6.84,0.0475,Laminated shale
6.87,0.0490,Laminated shale
6.90,0.0510,Laminated shale
6.93,0.0600,Laminated shale
6.96,0.0600,Laminated shale
6.99,0.0450,Laminated shale
7.02,0.0520,Laminated shale
7.05,0.0480,Laminated shale
7.08,0.0500,Laminated shale
7.11,0.0470,Laminated shale
7.14,0.0545,Laminated shale
7.17,0.0460,Laminated shale
7.20,0.0455,Laminated shale
7.23,0.0495,Laminated shale
7.26,0.0525,Laminated shale
7.29,0.0480,Laminated shale
7.32,0.0600,Laminated shale
7.35,0.0590,Laminated shale
7.38,0.0510,Laminated shale
7.41,0.0460,Laminated shale
7.44,0.0550,Laminated shale
7.47,0.0470,Laminated shale
7.50,0.0335,Laminated shale
7.53,0.0360,Laminated shale
7.56,0.0400,Laminated shale
7.59,0.0455,Laminated shale
7.62,0.0520,Laminated shale
7.65,0.0465,Laminated shale
7.68,0.0270,Laminated limestone
7.71,0.0235,Laminated limestone
7.74,0.0255,Laminated limestone
7.77,0.0355,Laminated limestone
7.80,0.0365,Laminated limestone
7.83,0.0595,Laminated shale
7.86,0.0575,Laminated shale
7.89,0.0550,Laminated shale
7.92,0.0625,Laminated shale
7.95,0.0540,Laminated shale
7.98,0.0540,Laminated shale
8.01,0.0685,Laminated shale
8.04,0.0520,Laminated shale
8.07,0.0560,Laminated shale
8.10,0.0710,Laminated shale
8.13,0.0585,Laminated shale
8.16,0.0665,Laminated shale
8.19,0.0680,Laminated shale
8.22,0.0640,Laminated shale
8.25,0.0780,Laminated shale
8.28,0.0750,Laminated shale
8.31,0.0690,Laminated shale
8.34,0.0560,Laminated shale
8.37,0.0760,Laminated shale
8.40,0.0740,Laminated shale
8.43,0.0715,Laminated shale
8.46,0.0620,Laminated shale
8.49,0.0640,Laminated shale
8.52,0.0635,Laminated shale
8.55,0.0665,Laminated shale
8.58,0.0650,Laminated shale
8.61,0.0660,Laminated shale
8.64,0.0690,Laminated shale
8.67,0.0745,Laminated shale
8.70,0.0635,Laminated shale
8.73,0.0760,Laminated shale
8.76,0.0525,Laminated shale
8.79,0.0635,Laminated shale
8.82,0.0600,Laminated shale
8.85,0.0620,Laminated shale
8.88,0.0580,Laminated shale
8.91,0.0655,Laminated shale
8.94,0.0610,Laminated shale
8.97,0.0620,Laminated shale
9.00,0.0740,Laminated shale
9.03,0.0595,Laminated shale
9.06,0.0630,Laminated shale
9.09,0.0455,Laminated shale
9.12,0.0500,Laminated shale
9.15,0.0560,Laminated shale
9.18,0.0580,Laminated shale
9.21,0.0580,Laminated shale
9.24,0.0555,Laminated shale
9.27,0.0605,Laminated shale
9.30,0.0645,Laminated shale
9.33,0.0690,Laminated shale
9.36,0.0600,Laminated shale
9.39,0.0555,Laminated shale
9.42,0.0530,Laminated shale
9.45,0.0670,Laminated shale
9.48,0.0640,Laminated shale
9.51,0.0465,Laminated shale
9.54,0.0465,Laminated shale
9.57,0.0530,Laminated shale
9.60,0.0515,Laminated shale
9.63,0.0530,Laminated shale
9.66,0.0570,Laminated shale
9.69,0.0605,Laminated shale
9.72,0.0550,Laminated shale
9.75,0.0450,Laminated shale
9.78,0.0445,Laminated limestone
9.81,0.0445,Laminated limestone
9.84,0.0580,Laminated shale
9.87,0.0580,Laminated shale
9.90,0.0545,Laminated shale
9.93,0.0605,Laminated shale
9.96,0.0580,Laminated shale
9.99,0.0550,Laminated shale
10.02,0.0575,Laminated shale
10.05,0.0515,Laminated shale
10.08,0.0570,Laminated shale
10.11,0.0320,Laminated limestone
10.14,0.0255,Laminated limestone
10.17,0.0370,Laminated limestone
10.20,0.0685,Laminated shale
10.23,0.0535,Laminated shale
10.26,0.0610,Laminated shale
10.29,0.0570,Laminated shale
10.32,0.0525,Laminated shale
10.35,0.0580,Laminated shale
10.38,0.0490,Laminated shale
10.41,0.0505,Laminated shale
10.44,0.0600,Laminated shale
10.47,0.0600,Laminated shale
10.50,0.0505,Laminated shale
10.53,0.0590,Laminated shale
10.56,0.0515,Laminated shale
10.59,0.0555,Laminated shale
10.62,0.0660,Laminated shale
10.65,0.0570,Laminated shale
10.68,0.0605,Laminated shale
10.71,0.0565,Laminated shale
10.74,0.0540,Laminated shale
10.77,0.0655,Laminated shale
10.80,0.0475,Laminated shale
10.83,0.0505,Laminated shale
10.86,0.0300,Limestone
10.89,0.0180,Limestone
10.92,0.0245,Limestone
10.95,0.0190,Limestone
10.98,0.0225,Limestone
11.01,0.0275,Limestone
11.04,0.0575,Dark marl
11.07,0.0565,Dark marl
11.10,0.0630,Dark marl
11.13,0.0520,Dark marl
11.16,0.0510,Dark marl
11.19,0.0485,Dark marl
11.22,0.0560,Dark marl
11.25,0.0245,Limestone
11.28,0.0155,Limestone
11.31,0.0170,Limestone
11.34,0.0525,Light marl
11.37,0.0560,Light marl
11.40,0.0485,Light marl
11.43,0.0515,Light marl
11.46,0.0390,Light marl
11.49,0.0485,Light marl
11.52,0.0530,Light marl
11.55,0.0355,Limestone
11.58,0.0165,Limestone
11.61,0.0130,Limestone
11.64,0.0435,Light marl
11.67,0.0415,Light marl
11.70,0.0300,Light marl
11.73,0.0200,Limestone nodule
11.76,0.0170,Limestone nodule
11.79,0.0130,Limestone nodule
11.82,0.0485,Light marl
11.85,0.0510,Light marl
11.88,0.0565,Light marl
11.91,0.0585,Light marl
11.94,0.0505,Light marl
11.97,0.0270,Limestone nodule
12.00,0.0245,Limestone nodule
12.03,0.0500,Light marl
12.06,0.0490,Light marl
12.09,0.0575,Light marl
12.12,0.0420,Light marl
12.15,0.0515,Light marl
12.18,0.0410,Light marl
12.21,0.0160,Limestone
12.24,0.0150,Limestone
12.27,0.0140,Limestone
12.30,0.0180,Limestone
12.33,0.0265,Limestone
12.36,0.0145,Limestone
12.39,0.0520,Laminated shale
12.42,0.0550,Laminated shale
12.45,0.0585,Laminated shale
12.48,0.0555,Laminated shale
12.51,0.0595,Laminated shale
12.54,0.0560,Laminated shale
12.57,0.0515,Laminated shale
12.60,0.0615,Laminated shale
12.63,0.0625,Laminated shale
12.66,0.0610,Laminated shale
12.69,0.0555,Laminated shale
12.72,0.0585,Laminated shale
12.75,0.0525,Laminated shale
12.78,0.0565,Laminated shale
12.81,0.0530,Laminated shale
12.84,0.0640,Laminated shale
12.87,0.0430,Laminated shale
12.90,0.0550,Laminated shale
12.93,0.0660,Laminated shale
12.96,0.0570,Laminated shale
12.99,0.0535,Laminated shale
13.02,0.0545,Laminated shale
13.05,0.0520,Laminated shale
13.08,0.0610,Laminated shale
13.11,0.0695,Laminated shale
13.14,0.0645,Laminated shale
13.17,0.0655,Laminated shale
13.20,0.0650,Laminated shale
13.23,0.0600,Laminated shale
13.26,0.0625,Laminated shale
13.29,0.0560,Laminated shale
13.32,0.0600,Laminated shale
13.35,0.0550,Laminated shale
13.38,0.0585,Laminated shale
13.41,0.0590,Laminated shale
13.44,0.0540,Light marl
13.47,0.0435,Light marl
13.50,0.0475,Light marl
13.53,0.0420,Light marl
13.56,0.0410,Light marl
13.59,0.0210,Limestone
13.62,0.0200,Limestone
13.65,0.0260,Limestone
13.68,0.0180,Limestone
13.71,0.0100,Limestone
13.74,0.0135,Limestone
13.77,0.0460,Light marl
13.80,0.0450,Light marl
13.83,0.0525,Light marl
13.86,0.0380,Dark marl
13.89,0.0535,Dark marl
13.92,0.0645,Dark marl
13.95,0.0470,Dark marl
13.98,0.0495,Light marl
14.01,0.0405,Light marl
14.04,0.0150,Limestone
14.07,0.0205,Limestone
14.10,0.0485,Light marl
14.13,0.0545,Light marl
14.16,0.0185,Limestone
14.19,0.0130,Limestone
14.22,0.0150,Limestone
14.25,0.0465,Light marl
14.28,0.0500,Light marl
14.31,0.0150,Limestone nodule
14.34,0.0430,Light marl
14.37,0.0325,Light marl
14.40,0.0465,Light marl
14.43,0.0475,Light marl
14.46,0.0425,Light marl
14.49,0.0395,Light marl
