# Gubbio Contessa Highway section, magnetic susceptibility
# Source: Sinnesael et al. 2016, PANGAEA https://doi.org/10.1594/PANGAEA.864450 (CC-BY-3.0)
# Tethyan, Danian pelagic limestone (Scaglia Rossa Fm). Real Kappabridge KLY-2 measurements.
depth_m,magnetic_susceptibility
6.08,16.224
6.09,14.758
6.10,15.853
6.11,14.878
6.12,16.585
6.13,15.368
6.14,16.321
6.15,20.320
6.16,25.756
6.17,108.844
6.18,19.670
6.19,19.189
6.20,18.911
6.21,18.236
6.22,19.401
6.23,19.143
6.24,14.547
6.25,17.133
6.26,18.079
6.27,18.103
6.28,20.751
6.29,22.003
6.30,20.922
6.31,21.363
6.32,20.720
6.33,15.396
6.34,16.190
6.35,21.540
6.36,20.064
6.37,21.352
6.38,19.623
6.39,16.594
6.40,15.982
6.41,18.535
6.42,18.761
6.43,19.423
6.44,19.963
6.45,16.624
6.46,22.691
6.47,15.090
6.48,15.102
6.49,14.416
6.50,15.464
6.51,21.142
6.52,23.002
6.53,18.543
6.54,23.200
6.55,15.992
6.56,17.439
6.57,15.358
6.58,15.929
6.59,13.438
6.60,13.482
6.61,10.051
6.62,9.460
6.63,9.762
6.64,9.245
6.65,10.542
6.66,9.677
6.67,11.436
6.68,13.744
6.69,11.737
6.70,10.040
6.71,9.305
6.72,9.762
6.73,10.892
6.74,7.150
6.75,12.359
6.76,11.710
6.77,13.124
6.78,10.449
6.79,11.782
6.80,11.675
6.81,11.829
6.82,11.217
6.83,14.566
6.84,11.216
6.85,13.577
6.86,11.424
6.87,13.970
6.88,13.258
6.89,11.508
6.90,13.850
6.91,12.994
6.92,11.673
6.93,27.740
6.94,15.472
6.95,13.242
6.96,11.734
6.97,15.231
6.98,13.329
6.99,18.469
7.00,13.248
7.02,16.009
7.04,14.547
7.06,13.766
7.08,14.305
7.10,12.443
7.12,15.037
7.14,13.684
7.16,16.898
7.18,12.100
7.20,18.010
7.22,14.274
7.24,13.033
7.26,16.421
7.28,16.272
7.30,15.012
7.32,18.752
7.34,18.659
7.36,16.583
7.38,29.903
7.40,18.690
7.42,20.336
7.44,17.725
7.46,25.160
7.48,22.264
7.50,13.858
7.52,12.829
7.54,10.446
7.56,12.593
7.58,14.980
7.60,19.530
7.62,17.016
7.64,17.616
7.66,20.084
7.68,26.141
7.70,17.465
7.72,29.188
7.74,24.304
7.76,19.356
7.78,16.206
7.80,13.810
7.82,14.021
7.84,14.169
7.86,14.730
7.88,17.046
7.90,26.976
7.92,26.671
7.94,12.907
7.96,15.441
7.98,19.712
8.00,29.795
8.02,20.539
8.04,49.626
8.06,41.992
8.08,38.514
8.10,40.784
8.12,25.233
8.14,27.577
8.16,32.036
8.18,31.799
8.20,33.761
8.22,54.551
8.24,28.062
8.26,40.571
8.28,29.656
8.30,22.991
8.32,23.705
8.34,28.026
8.36,32.419
8.38,29.568
8.40,26.479
8.42,28.537
8.44,24.095
8.46,24.038
8.48,40.189
8.50,16.891
8.52,27.546
8.54,28.421
8.56,31.276
8.58,25.689
8.60,24.144
8.62,23.141
8.64,21.752
8.66,15.139
8.68,16.409
8.70,31.792
8.72,36.131
8.74,26.939
8.76,48.193
8.78,15.886
8.80,14.339
8.82,15.307
8.84,13.971
8.86,20.781
8.88,13.664
8.90,12.853
8.92,16.497
8.94,14.418
8.96,17.629
8.98,13.558
9.00,11.073
9.02,18.126
9.04,12.636
9.06,15.330
9.08,18.166
9.10,10.626
9.12,5.939
9.14,12.022
9.16,17.056
9.18,19.043
9.20,12.726
9.22,16.688
9.24,18.873
9.26,8.706
9.28,5.999
9.30,3.507
9.32,15.021
9.34,14.246
9.36,14.153
9.38,13.778
9.40,10.556
9.42,16.128
9.44,9.442
9.46,11.469
9.48,9.809
9.50,11.923
9.52,13.666
9.54,18.806
9.56,15.166
9.58,11.179
9.60,13.037
9.62,17.506
9.64,14.412
9.66,11.722
9.68,8.970
9.70,13.554
9.72,17.690
9.74,19.274
9.76,13.514
9.78,15.325
9.80,9.140
9.82,13.274
9.84,13.004
9.86,14.512
9.88,14.706
9.90,12.152
9.92,15.777
9.94,17.478
9.96,9.614
9.98,13.677
10.00,10.459
10.02,10.910
10.04,26.500
10.06,22.094
10.08,16.487
10.10,11.374
10.12,13.818
10.14,11.189
10.16,18.062
10.18,16.292
10.20,6.912
10.22,8.201
10.24,7.641
10.26,8.519
10.28,7.241
10.30,9.325
10.32,8.771
10.34,16.058
10.36,9.335
10.38,15.072
10.40,11.844
10.42,15.783
10.44,13.562
10.46,10.744
10.48,10.366
10.50,14.832
10.52,12.792
10.54,12.575
10.56,11.000
10.58,10.374
10.60,13.351
10.62,13.365
10.64,13.576
10.66,13.165
10.68,11.432
10.70,16.142
10.72,13.376
10.74,17.550
10.76,13.098
10.78,8.300
10.80,8.491
10.82,8.238
10.84,11.202
10.86,11.650
10.88,13.934
10.90,15.772
10.92,11.886
10.94,12.246
10.96,14.281
10.98,12.503
11.00,7.853
11.02,9.037
11.04,10.849
11.06,7.702
11.08,12.321
11.10,14.187
11.12,14.329
11.14,15.320
11.16,17.730
11.18,14.172
11.20,13.514
11.22,15.920
11.24,17.208
11.26,15.300
11.28,14.561
11.30,12.907
11.32,10.932
11.34,11.537
11.36,13.259
11.38,13.592
11.40,10.226
11.42,7.502
11.44,15.536
11.46,16.066
11.48,11.808
11.50,15.123
11.52,15.893
11.54,14.477
11.56,14.862
11.58,12.565
11.60,13.286
11.62,13.351
11.64,11.292
11.66,15.769
11.68,12.093
11.70,12.365
11.72,12.412
11.74,13.152
11.76,17.713
11.78,14.382
11.80,14.851
11.82,11.252
11.84,12.383
11.86,13.400
11.88,12.617
11.90,12.449
11.92,13.168
11.94,10.162
11.96,11.506
11.98,10.670
12.00,6.278
12.02,10.583
12.04,12.363
12.06,10.897
12.08,13.456
12.10,14.955
12.12,17.608
12.14,15.760
12.16,14.054
12.18,19.030
12.20,30.402
12.22,21.609
12.24,18.093
12.26,13.789
12.28,6.663
12.30,5.039
12.32,4.874
12.34,10.620
12.36,9.775
12.38,8.033
12.40,11.696
12.42,4.957
12.44,6.500
12.46,7.971
12.48,16.032
12.50,12.059
12.52,11.707
12.54,14.495
12.56,12.453
12.58,12.756
12.60,22.980
12.62,19.376
12.64,20.629
12.66,16.632
12.68,17.370
12.70,16.763
12.72,9.664
12.74,20.477
12.76,22.774
12.78,10.089
12.80,8.968
12.82,7.230
12.84,8.319
12.86,9.720
12.88,9.265
12.90,8.635
12.92,9.305
12.94,10.791
12.96,10.778
12.98,11.530
13.00,13.129
13.02,9.383
13.04,7.438
13.06,7.854
13.08,8.527
13.10,9.680
13.12,9.452
13.14,6.500
13.16,7.207
13.18,5.832
13.20,5.536
13.22,6.755
13.24,7.882
13.26,7.790
13.28,8.726
13.30,7.348
13.32,9.280
13.34,11.366
13.36,9.386
13.38,16.012
13.40,12.684
13.42,6.034
13.44,6.258
13.46,6.680
13.48,6.639
13.50,9.886
13.52,9.065
13.54,6.881
13.56,7.181
13.58,5.978
13.60,7.710
13.62,8.505
13.64,13.039
13.66,12.266
13.68,10.046
13.70,10.716
13.72,18.243
13.74,13.566
13.76,8.204
13.78,8.689
13.80,5.039
13.82,11.129
13.84,10.765
13.86,8.652
13.88,11.741
13.90,16.861
13.92,9.401
13.94,11.334
13.96,8.679
13.98,11.823
14.00,12.465
